ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,dmg,codekey,tele_files,wall_s,status
15:59:17,straight,DynamicABS,DynamicABS1.pc,straight,6,80,0.0,0.0,1.0,1788649169-0002,53.9438,176.98,1.2075,2.94,80.0,53.94,1.208,0.00,0.2,0.2,1.4,0.0,0,ba2f3327-f04f27a6-108632,1,17.9,OK
15:59:34,straight,DynamicABS,DynamicABS1.pc,straight,6,120,0.0,0.0,1.0,1788649189-0003,121.5461,398.77,1.2063,4.45,120.0,121.55,1.206,0.00,0.2,0.2,2.2,0.0,0,ba2f3327-f04f27a6-108632,1,19.7,OK
15:59:54,straight,DynamicABS,DynamicABS1.pc,straight,6,160,0.0,0.0,1.0,1788649211-0004,215.0453,705.53,1.2123,5.94,160.0,215.05,1.212,0.00,0.2,0.2,2.8,0.0,0,ba2f3327-f04f27a6-108632,1,23.6,OK
16:00:42,straight,StockABS,StockABS1.pc,straight,6,60,0.0,0.0,1.0,1788649254-0001,31.2314,102.47,1.1725,2.26,60.0,31.23,1.172,0.00,0.2,0.2,0.7,0.0,0,,0,15.9,OK
16:00:58,straight,StockABS,StockABS1.pc,straight,6,80,0.0,0.0,1.0,1788649270-0002,54.7003,179.46,1.1908,3.00,80.0,54.70,1.191,0.00,0.2,0.2,1.2,0.0,0,,0,16.5,OK
16:01:14,straight,StockABS,StockABS1.pc,straight,6,120,0.0,0.0,1.0,1788649288-0003,122.2702,401.15,1.1992,4.50,120.0,122.27,1.199,0.00,0.2,0.2,2.0,0.0,0,,0,19.1,OK
16:01:33,straight,StockABS,StockABS1.pc,straight,6,160,0.0,0.0,1.0,1788649310-0004,216.7747,711.20,1.2027,6.00,160.0,216.78,1.203,0.00,0.2,0.2,2.8,0.0,0,,0,21.6,OK
16:02:19,straight,DynamicABS,DynamicABS1.pc,straight,7,60,0.0,0.0,1.0,1788649352-0001,30.3784,99.67,1.2054,2.19,60.0,30.38,1.205,0.00,0.2,0.1,1.0,0.0,0,ba2f3327-f04f27a6-108632,1,17.8,OK
16:02:37,straight,DynamicABS,DynamicABS1.pc,straight,7,80,0.0,0.0,1.0,1788649370-0002,53.9674,177.06,1.2070,2.95,80.0,53.97,1.207,0.00,0.2,0.2,1.3,0.0,0,ba2f3327-f04f27a6-108632,1,17.9,OK
16:02:55,straight,DynamicABS,DynamicABS1.pc,straight,7,120,0.0,0.0,1.0,1788649389-0003,121.7525,399.45,1.2043,4.46,120.0,121.75,1.204,0.00,0.2,0.2,2.3,0.0,0,ba2f3327-f04f27a6-108632,1,19.7,OK
16:03:15,straight,DynamicABS,DynamicABS1.pc,straight,7,160,0.0,0.0,1.0,1788649412-0004,215.3006,706.37,1.2109,5.94,160.0,215.30,1.211,0.00,0.2,0.2,2.7,0.0,0,ba2f3327-f04f27a6-108632,1,22.6,OK
16:04:02,straight,StockABS,StockABS1.pc,straight,7,60,0.0,0.0,1.0,1788649454-0001,31.3483,102.85,1.1681,2.26,60.0,31.35,1.168,0.00,0.2,0.1,0.9,0.0,0,,0,15.7,OK
16:04:18,straight,StockABS,StockABS1.pc,straight,7,80,0.0,0.0,1.0,1788649470-0002,54.6860,179.42,1.1911,2.99,80.0,54.69,1.191,0.00,0.2,0.2,1.2,0.0,0,,0,17.4,OK
16:04:35,straight,StockABS,StockABS1.pc,straight,7,120,0.0,0.0,1.0,1788649489-0003,122.2480,401.08,1.1994,4.49,120.0,122.25,1.199,0.00,0.2,0.2,1.9,0.0,0,,0,18.9,OK
16:04:54,straight,StockABS,StockABS1.pc,straight,7,160,0.0,0.0,1.0,1788649510-0004,216.6940,710.94,1.2031,6.00,160.0,216.69,1.203,0.00,0.3,0.2,2.9,0.0,0,,0,21.6,OK
